student_id,name,gender,age,department,level,cgpa,attendance_rate,assignments_submitted,library_usage_per_week,internet_hours_per_week,graduation_status
S100047,Student_47,Male,18,Computer Science,200,2.1,44.05,15,0,13.28,Graduated
S100048,Student_48,Female,25,Business Admin,100,2.06,68.6,19,1,10.07,Graduated
S100049,Student_49,Female,26,Engineering,100,3.22,52.64,15,2,15.74,Graduated
S100050,Student_50,Male,26,Education,300,4.32,66.53,11,5,11.86,Graduated
S100051,Student_51,Female,17,Education,200,2.55,83.45,9,6,14.32,Graduated
S100052,Student_52,Male,17,Business Admin,400,2.5,80.05,11,2,14.05,In Progress
S100053,Student_53,Female,19,Law,100,2.76,86.8,10,4,16.78,Graduated
S100054,Student_54,Male,30,Education,100,2.07,68.59,6,3,5.16,In Progress
S100055,Student_55,Female,19,Education,100,3.39,70.65,18,0,3.79,Graduated
S100056,Student_56,Female,17,Computer Science,400,3.63,96.14,16,7,15.21,Graduated
S100057,Student_57,Male,28,Business Admin,200,3.34,77.87,6,7,10.81,Graduated
S100058,Student_58,Male,23,Education,400,2.88,84.85,5,0,19.37,Graduated
S100059,Student_59,Male,20,Education,400,2.28,79.87,17,4,0.0,Graduated
S100060,Student_60,Male,26,Computer Science,300,4.44,78.43,5,0,9.65,Graduated
S100061,Student_61,Male,29,Education,100,2.4,94.81,17,7,9.9,Graduated
S100062,Student_62,Male,18,Computer Science,200,2.38,61.39,9,6,14.48,Graduated
S100063,Student_63,Male,26,Law,300,1.75,65.66,9,7,19.75,Graduated
S100064,Student_64,Male,21,Medicine,300,2.0,62.79,11,1,10.04,Graduated
S100065,Student_65,Female,22,Computer Science,500,3.24,85.91,5,4,12.1,Graduated
S100066,Student_66,Female,25,Computer Science,100,2.7,92.11,20,3,1.07,Graduated
S100067,Student_67,Male,20,Education,200,2.4,61.45,9,7,11.43,Graduated
S100068,Student_68,Female,18,Computer Science,200,2.44,48.54,6,2,11.48,In Progress
S100069,Student_69,Female,21,Business Admin,200,2.64,69.65,14,0,7.15,Graduated
S100070,Student_70,Female,19,Engineering,100,2.53,99.06,20,5,11.49,In Progress
S100071,Student_71,Female,18,Engineering,200,3.98,52.22,5,2,11.25,Graduated
S100072,Student_72,Male,28,Law,400,2.74,67.12,11,3,18.09,Graduated
S100073,Student_73,Female,17,Computer Science,400,3.1,56.28,19,3,6.2,In Progress
S100074,Student_74,Male,26,Business Admin,100,3.04,95.36,7,1,5.57,Graduated
S100075,Student_75,Female,18,Education,200,3.07,73.06,15,3,5.74,Graduated
S100076,Student_76,Female,22,Education,500,2.74,74.72,13,3,7.82,Graduated
S100077,Student_77,Female,24,Medicine,500,2.67,40.5,20,0,2.03,Graduated
S100078,Student_78,Male,29,Law,500,3.45,79.17,19,2,8.69,In Progress
S100079,Student_79,Female,19,Business Admin,400,3.15,58.38,9,5,10.17,Graduated
S100080,Student_80,Male,27,Business Admin,500,2.47,70.8,9,0,17.5,Graduated
S100081,Student_81,Female,25,Education,200,1.0,71.86,9,0,9.38,Graduated
S100082,Student_82,Male,28,Medicine,200,2.58,75.53,13,6,16.33,Graduated
S100083,Student_83,Female,25,Education,500,2.05,89.41,17,4,14.14,In Progress
S100084,Student_84,Male,18,Medicine,300,2.35,57.94,14,7,10.69,In Progress
S100085,Student_85,Male,24,Engineering,500,2.07,55.37,17,5,9.29,Graduated
S100086,Student_86,Female,26,Business Admin,300,3.81,87.75,5,4,12.68,Graduated
S100087,Student_87,Male,27,Engineering,100,3.81,83.12,9,1,13.21,Graduated
S100088,Student_88,Female,28,Education,100,3.53,53.54,14,5,7.36,Graduated
S100089,Student_89,Female,21,Law,200,2.77,40.05,10,1,12.93,Graduated
S100090,Student_90,Female,20,Computer Science,400,2.53,79.96,20,3,9.55,Graduated
S100091,Student_91,Female,26,Law,200,1.95,49.43,20,1,12.73,In Progress
S100092,Student_92,Female,21,Law,200,3.64,97.42,13,6,18.21,Graduated
S100093,Student_93,Female,20,Computer Science,400,3.61,76.26,7,1,8.19,In Progress
S100094,Student_94,Female,24,Business Admin,200,3.34,90.98,5,3,0.07,In Progress
S100095,Student_95,Female,20,Engineering,400,2.22,88.34,16,7,9.73,Graduated
S100096,Student_96,Female,29,Engineering,200,2.76,73.47,15,2,4.63,In Progress
S100097,Student_97,Female,26,Business Admin,100,2.92,66.3,15,6,11.32,Graduated
S100098,Student_98,Female,28,Computer Science,300,1.76,69.81,12,3,4.96,Graduated
S100099,Student_99,Male,29,Medicine,200,4.0,88.18,13,3,9.45,Graduated
S100100,Student_100,Male,30,Law,300,2.05,78.43,16,2,18.15,Graduated
S100101,Student_101,Female,22,Education,500,2.45,52.34,15,3,19.16,Dropped
S100102,Student_102,Female,18,Engineering,200,1.76,76.56,10,4,11.81,In Progress
S100103,Student_103,Female,21,Business Admin,100,2.86,64.28,9,1,5.49,In Progress
S100104,Student_104,Female,22,Education,400,2.83,43.68,16,7,14.37,Graduated
S100105,Student_105,Female,21,Computer Science,100,3.69,62.88,12,3,7.67,Graduated
S100106,Student_106,Female,28,Education,300,2.34,53.66,16,7,2.55,Graduated
S100107,Student_107,Female,18,Education,400,2.24,90.32,10,0,19.77,In Progress
S100108,Student_108,Female,30,Law,100,3.06,46.3,10,1,9.95,In Progress
S100109,Student_109,Male,23,Computer Science,100,1.55,61.64,13,6,12.76,Graduated
S100110,Student_110,Female,20,Education,100,3.93,81.73,13,4,8.37,Graduated
S100111,Student_111,Male,24,Engineering,400,2.07,93.84,5,4,12.67,Graduated
S100112,Student_112,Female,23,Computer Science,100,4.27,60.12,16,6,5.87,In Progress
S100113,Student_113,Female,23,Engineering,100,2.45,76.39,6,6,9.42,Graduated
S100114,Student_114,Male,25,Business Admin,300,2.0,62.42,5,3,14.58,In Progress
S100115,Student_115,Female,17,Business Admin,100,3.41,52.17,6,2,9.1,Graduated
S100116,Student_116,Male,26,Medicine,100,3.37,59.54,7,0,5.78,In Progress
S100117,Student_117,Female,22,Business Admin,500,3.38,78.15,17,3,14.61,Graduated
S100118,Student_118,Female,22,Education,400,3.07,82.98,18,2,8.2,Graduated
S100119,Student_119,Male,22,Computer Science,500,4.57,62.24,17,4,8.09,Graduated
S100120,Student_120,Female,29,Business Admin,300,2.06,49.15,6,1,4.35,Graduated
S100121,Student_121,Male,28,Engineering,500,3.95,48.37,10,6,17.74,In Progress
S100122,Student_122,Female,22,Education,200,1.87,88.76,8,4,15.32,Graduated
S100123,Student_123,Male,28,Business Admin,400,4.16,79.2,19,3,8.73,Graduated
S100124,Student_124,Male,26,Law,100,3.25,83.68,9,2,5.65,Graduated
S100125,Student_125,Female,23,Engineering,500,4.09,69.3,14,6,13.39,Graduated
S100126,Student_126,Female,30,Engineering,500,3.62,67.44,13,3,12.01,Graduated
S100127,Student_127,Male,26,Medicine,100,1.48,52.67,6,7,7.94,Graduated
S100128,Student_128,Female,22,Law,100,2.76,50.1,7,4,9.54,In Progress
S100129,Student_129,Female,17,Medicine,300,2.12,49.23,18,7,12.96,Graduated
S100130,Student_130,Female,19,Business Admin,500,4.05,99.51,14,0,11.14,Graduated
S100131,Student_131,Male,18,Law,500,3.56,89.25,5,4,11.85,Graduated
S100132,Student_132,Male,22,Engineering,200,3.11,77.57,19,3,11.31,Graduated
S100133,Student_133,Male,24,Medicine,200,2.71,52.86,6,2,13.65,Graduated
S100134,Student_134,Male,19,Education,500,3.3,60.26,5,3,7.21,Graduated
S100135,Student_135,Male,26,Law,200,2.33,61.05,18,7,10.8,Graduated
S100136,Student_136,Male,24,Engineering,500,3.2,68.66,13,1,6.39,Graduated
S100137,Student_137,Male,24,Computer Science,400,2.91,65.32,7,1,6.75,In Progress
S100138,Student_138,Male,21,Law,300,2.43,96.05,20,7,19.52,In Progress
S100139,Student_139,Male,24,Law,200,3.49,83.25,7,2,2.88,In Progress
S100140,Student_140,Female,22,Business Admin,500,4.32,44.88,17,6,13.34,Graduated
S100141,Student_141,Male,21,Education,200,2.0,61.6,11,4,23.59,Graduated
S100142,Student_142,Female,25,Business Admin,300,3.66,47.98,5,7,18.82,Graduated
S100143,Student_143,Female,30,Law,400,2.43,56.76,13,3,12.82,Graduated
S100144,Student_144,Female,23,Law,100,3.41,97.53,11,5,19.55,Graduated
S100145,Student_145,Male,24,Education,100,2.57,82.32,20,5,12.0,Graduated
S100146,Student_146,Male,17,Education,200,2.79,40.47,19,1,8.52,In Progress
S100147,Student_147,Male,27,Medicine,500,2.86,59.73,13,0,10.1,In Progress
S100148,Student_148,Male,18,Engineering,300,3.95,66.32,12,7,14.5,Graduated
S100149,Student_149,Female,24,Engineering,400,2.94,76.15,9,1,20.39,Graduated
S100150,Student_150,Male,28,Medicine,400,2.76,69.98,16,7,15.31,Graduated
S100151,Student_151,Male,25,Engineering,400,2.94,44.19,7,4,9.56,Graduated
S100152,Student_152,Male,20,Law,100,4.33,70.93,15,2,6.81,In Progress
S100153,Student_153,Male,28,Medicine,300,3.39,47.82,13,0,0.3,Graduated
S100154,Student_154,Male,26,Medicine,100,2.57,71.15,20,3,9.32,Graduated
S100155,Student_155,Female,27,Engineering,200,4.05,54.76,9,3,4.83,Graduated
S100156,Student_156,Male,26,Computer Science,400,3.13,48.65,20,7,14.64,In Progress
S100157,Student_157,Female,30,Engineering,300,2.4,57.28,13,6,8.74,In Progress
S100158,Student_158,Male,25,Business Admin,400,3.28,45.98,7,7,14.86,Dropped
S100159,Student_159,Female,20,Computer Science,100,2.89,57.04,10,5,22.54,Graduated
S100160,Student_160,Male,26,Medicine,100,0.63,92.02,17,6,9.35,Graduated
S100161,Student_161,Male,26,Computer Science,100,3.23,58.43,6,6,10.81,Graduated
S100162,Student_162,Female,26,Law,400,2.25,68.21,7,2,11.82,Graduated
S100163,Student_163,Female,25,Education,300,2.11,71.19,6,0,8.59,Graduated
S100164,Student_164,Female,27,Computer Science,300,1.64,50.7,16,0,10.58,In Progress
S100165,Student_165,Male,23,Business Admin,200,3.09,66.51,6,0,8.25,Graduated
S100166,Student_166,Female,18,Education,400,2.9,91.18,9,2,16.79,In Progress
S100167,Student_167,Male,25,Law,200,3.66,44.83,14,2,8.92,In Progress
S100168,Student_168,Male,20,Business Admin,200,2.44,95.37,8,3,3.76,In Progress
S100169,Student_169,Female,24,Education,200,2.66,92.27,15,6,4.19,Graduated
S100170,Student_170,Female,30,Law,200,4.39,91.35,8,1,5.79,Graduated
S100171,Student_171,Male,23,Education,100,1.62,51.91,17,4,7.76,In Progress
S100172,Student_172,Male,29,Education,200,3.85,69.06,12,3,14.38,Dropped
S100173,Student_173,Female,23,Engineering,300,2.45,76.97,18,5,14.06,Graduated
S100174,Student_174,Female,24,Business Admin,200,5.0,46.0,10,5,14.48,Graduated
S100175,Student_175,Female,17,Business Admin,100,3.51,73.41,20,5,10.08,Dropped
S100176,Student_176,Male,21,Computer Science,500,2.56,90.4,14,6,14.97,Graduated
S100177,Student_177,Male,18,Business Admin,500,2.02,96.19,6,0,8.78,Graduated
S100178,Student_178,Male,18,Business Admin,500,3.29,56.7,17,1,0.82,Graduated
S100179,Student_179,Male,17,Education,400,1.66,57.32,5,7,14.74,Graduated
S100180,Student_180,Male,21,Medicine,300,3.48,56.24,9,4,6.57,In Progress
S100181,Student_181,Male,18,Engineering,100,2.02,49.21,19,0,8.92,Graduated
S100182,Student_182,Female,20,Computer Science,500,2.32,65.84,11,2,8.18,In Progress
S100183,Student_183,Male,19,Engineering,100,1.04,87.07,9,1,12.61,Graduated
S100184,Student_184,Male,19,Computer Science,100,3.09,82.73,20,7,10.79,In Progress
S100185,Student_185,Male,18,Law,400,3.2,94.02,16,2,8.85,In Progress
S100186,Student_186,Female,29,Education,500,3.02,61.34,8,4,17.99,Graduated
S100187,Student_187,Male,22,Business Admin,200,1.79,74.33,9,5,9.55,Dropped
S100188,Student_188,Male,18,Business Admin,100,4.0,85.99,15,4,8.82,Graduated
S100189,Student_189,Female,30,Medicine,500,2.89,93.89,14,0,14.04,In Progress
S100190,Student_190,Male,30,Engineering,100,2.63,92.31,12,2,15.84,Graduated
S100191,Student_191,Male,24,Engineering,400,3.56,67.93,9,3,14.45,Graduated
S100192,Student_192,Male,24,Engineering,400,2.69,94.41,13,5,7.01,Graduated
S100193,Student_193,Male,29,Business Admin,200,3.31,66.64,14,6,11.84,Graduated
S100194,Student_194,Male,30,Engineering,400,2.45,94.17,11,3,10.42,Graduated
S100195,Student_195,Female,28,Education,500,3.57,86.62,15,2,9.03,Graduated
S100196,Student_196,Female,21,Computer Science,400,3.55,53.3,17,7,5.33,Graduated
S100197,Student_197,Female,26,Business Admin,200,2.68,95.78,18,4,11.1,Graduated
S100198,Student_198,Male,23,Education,300,3.11,54.55,15,5,15.44,Graduated
S100199,Student_199,Male,20,Law,100,2.98,94.51,18,1,18.15,Graduated
S100200,Student_200,Male,17,Education,100,2.91,76.91,6,5,15.77,Graduated
S100201,Student_201,Female,27,Education,500,2.17,80.04,13,2,7.76,Graduated
S100202,Student_202,Male,18,Law,200,2.27,46.56,6,6,5.34,Graduated
S100203,Student_203,Male,26,Education,200,2.73,43.94,10,7,2.54,In Progress
S100204,Student_204,Female,26,Computer Science,200,3.05,98.1,18,6,15.27,Graduated
S100205,Student_205,Male,20,Business Admin,100,2.38,60.22,12,0,14.11,Graduated
S100206,Student_206,Female,17,Medicine,400,3.01,90.66,6,3,7.23,In Progress
S100207,Student_207,Female,29,Law,100,1.4,82.27,10,6,6.21,Graduated
S100208,Student_208,Female,24,Business Admin,100,3.0,76.25,9,5,16.34,Graduated
S100209,Student_209,Male,25,Engineering,100,3.05,81.11,19,0,14.87,Graduated
S100210,Student_210,Male,20,Computer Science,400,3.57,45.36,11,1,16.46,Graduated
S100211,Student_211,Male,26,Medicine,300,4.0,64.74,14,3,12.81,In Progress
S100212,Student_212,Male,19,Computer Science,500,3.48,76.42,17,3,13.23,Graduated
S100213,Student_213,Male,18,Computer Science,300,4.26,92.05,9,6,0.0,In Progress
S100214,Student_214,Male,21,Engineering,300,2.98,82.88,18,3,8.13,Graduated
S100215,Student_215,Male,30,Medicine,100,3.03,55.17,18,7,20.11,Dropped
S100216,Student_216,Female,19,Computer Science,300,3.56,99.1,19,5,7.16,In Progress
S100217,Student_217,Male,26,Engineering,100,2.93,78.58,19,7,11.09,Graduated
S100218,Student_218,Female,23,Law,100,2.77,70.08,7,0,17.79,Graduated
S100219,Student_219,Male,27,Engineering,500,3.96,86.88,10,6,14.37,Graduated
S100220,Student_220,Male,22,Education,200,3.51,76.16,11,7,5.17,Graduated
S100221,Student_221,Male,17,Business Admin,100,3.46,82.6,5,4,4.13,Graduated
S100222,Student_222,Female,28,Engineering,300,2.4,77.03,12,6,18.05,In Progress
S100223,Student_223,Female,24,Engineering,500,3.66,50.73,12,0,13.71,Graduated
S100224,Student_224,Female,18,Engineering,300,3.06,72.6,20,4,11.78,In Progress
S100225,Student_225,Female,21,Computer Science,200,2.31,56.99,17,7,12.51,Graduated
S100226,Student_226,Male,25,Medicine,400,3.49,74.22,8,5,8.15,Graduated
S100227,Student_227,Female,24,Engineering,200,2.16,47.53,18,2,5.55,In Progress
S100228,Student_228,Male,18,Engineering,500,1.31,53.92,18,7,12.2,Graduated
S100229,Student_229,Male,25,Education,200,1.74,88.52,20,3,6.99,Graduated
S100230,Student_230,Female,21,Education,200,2.83,64.32,12,6,7.04,Graduated
S100231,Student_231,Female,26,Law,500,4.08,80.43,7,6,8.17,In Progress
S100232,Student_232,Female,30,Law,500,3.22,69.87,17,7,13.92,Graduated
S100233,Student_233,Female,22,Education,300,2.93,60.44,19,0,6.49,In Progress
S100234,Student_234,Female,29,Medicine,100,3.92,69.71,9,1,6.05,Graduated
S100235,Student_235,Female,19,Law,400,3.36,88.82,7,1,5.26,In Progress
S100236,Student_236,Female,29,Business Admin,400,3.72,56.9,6,6,9.23,Graduated
S100237,Student_237,Female,19,Business Admin,400,3.68,65.29,9,6,15.05,Graduated
S100238,Student_238,Male,26,Medicine,200,2.78,52.15,12,4,9.27,Graduated
S100239,Student_239,Female,24,Education,500,2.84,61.07,13,4,10.01,Dropped
S100240,Student_240,Female,27,Law,500,2.42,93.11,9,3,10.95,In Progress
S100241,Student_241,Male,26,Engineering,500,3.58,87.14,7,4,8.35,Graduated
S100242,Student_242,Female,26,Education,100,2.14,62.42,16,1,5.45,Graduated
S100243,Student_243,Male,28,Law,500,2.38,47.94,7,0,7.84,Graduated
S100244,Student_244,Male,18,Medicine,500,2.95,65.2,12,0,7.16,Graduated
S100245,Student_245,Female,27,Business Admin,200,3.08,86.3,7,4,9.56,Graduated
S100246,Student_246,Male,28,Medicine,300,3.41,42.63,20,6,7.74,Graduated
S100247,Student_247,Male,28,Law,400,2.97,84.72,13,4,11.13,Graduated
S100248,Student_248,Male,18,Medicine,200,2.75,80.79,14,6,9.44,Graduated
S100249,Student_249,Male,29,Law,200,3.51,43.88,20,5,6.88,Graduated
S100250,Student_250,Female,21,Law,200,3.64,78.14,19,1,17.28,Graduated
S100251,Student_251,Male,22,Medicine,400,1.81,57.92,5,2,12.4,Graduated
S100252,Student_252,Female,28,Computer Science,200,3.75,50.64,19,6,8.96,Graduated
S100253,Student_253,Male,18,Engineering,300,2.77,63.09,5,0,7.3,In Progress
S100254,Student_254,Male,21,Education,500,4.12,52.32,9,4,14.57,In Progress
S100255,Student_255,Male,23,Business Admin,300,2.54,89.47,8,5,5.66,In Progress
S100256,Student_256,Male,26,Engineering,500,2.3,84.52,7,5,17.02,Graduated
S100257,Student_257,Female,26,Education,500,3.45,98.85,5,5,2.83,In Progress
S100258,Student_258,Female,24,Education,200,4.49,72.04,11,5,23.84,Graduated
S100259,Student_259,Male,28,Business Admin,200,1.86,45.35,5,3,7.89,Graduated
S100260,Student_260,Male,23,Engineering,400,3.59,62.07,20,4,3.51,Graduated
S100261,Student_261,Female,24,Business Admin,100,3.39,90.32,10,4,6.65,Graduated
S100262,Student_262,Male,30,Law,300,2.98,63.81,14,7,8.44,In Progress
S100263,Student_263,Male,28,Business Admin,400,4.45,67.34,6,5,7.18,In Progress
S100264,Student_264,Male,25,Medicine,400,1.66,64.72,18,0,11.78,Dropped
S100265,Student_265,Female,21,Computer Science,300,3.78,54.12,20,4,11.42,Graduated
S100266,Student_266,Female,29,Computer Science,300,3.68,44.39,8,6,25.88,In Progress
S100267,Student_267,Female,21,Computer Science,500,3.84,50.83,12,3,10.44,Graduated
S100268,Student_268,Male,27,Engineering,100,3.75,61.84,7,6,3.37,Graduated
S100269,Student_269,Male,26,Engineering,200,3.16,54.73,13,7,9.14,Graduated
S100270,Student_270,Female,20,Law,100,2.79,74.36,9,3,10.69,Graduated
S100271,Student_271,Female,29,Computer Science,100,2.57,76.83,10,7,7.45,Graduated
S100272,Student_272,Female,25,Law,200,3.41,74.2,6,5,13.21,Graduated
S100273,Student_273,Female,21,Computer Science,100,3.0,45.1,5,3,13.84,Graduated
S100274,Student_274,Male,30,Engineering,400,2.85,80.01,9,1,6.82,Dropped
S100275,Student_275,Female,18,Medicine,400,2.61,63.07,5,3,8.24,In Progress
S100276,Student_276,Male,26,Medicine,200,2.71,92.69,8,5,0.47,Graduated
S100277,Student_277,Female,24,Medicine,200,3.54,71.54,20,5,5.65,Dropped
S100278,Student_278,Male,23,Business Admin,300,3.01,45.07,12,5,8.67,In Progress
S100279,Student_279,Female,24,Medicine,300,3.85,40.55,18,0,10.7,Graduated
S100280,Student_280,Female,28,Education,100,2.05,82.15,16,2,9.32,Dropped
S100281,Student_281,Female,19,Computer Science,100,3.43,64.03,17,6,5.79,In Progress
S100282,Student_282,Female,20,Medicine,200,2.29,57.28,6,6,15.53,Dropped
S100283,Student_283,Male,21,Education,100,3.85,66.83,10,4,15.04,Graduated
S100284,Student_284,Female,22,Education,500,3.87,44.34,16,4,15.53,Graduated
S100285,Student_285,Male,17,Education,400,2.01,63.52,14,4,17.75,Graduated
S100286,Student_286,Male,20,Law,100,2.46,58.88,17,3,5.08,In Progress
S100287,Student_287,Male,27,Law,100,2.49,88.01,18,3,12.15,In Progress
S100288,Student_288,Male,28,Education,300,3.88,50.49,19,3,14.56,Graduated
S100289,Student_289,Female,26,Business Admin,500,2.58,85.38,9,7,21.36,In Progress
S100290,Student_290,Male,29,Medicine,100,3.48,70.02,5,7,17.48,Graduated
S100291,Student_291,Male,21,Computer Science,400,2.54,44.91,12,2,8.72,Graduated
S100292,Student_292,Male,23,Business Admin,100,3.75,98.18,9,2,2.05,Graduated
S100293,Student_293,Female,29,Engineering,200,3.82,84.05,13,2,3.95,In Progress
S100294,Student_294,Female,21,Law,500,4.17,55.61,6,2,13.36,Graduated
S100295,Student_295,Female,29,Medicine,100,2.88,74.91,19,2,10.31,In Progress
S100296,Student_296,Female,29,Medicine,500,3.0,94.0,10,4,6.51,Graduated
S100297,Student_297,Male,17,Engineering,100,2.9,95.85,11,4,0.07,Graduated
S100298,Student_298,Male,27,Engineering,400,3.02,83.87,5,7,14.43,In Progress
S100299,Student_299,Female,23,Medicine,400,2.7,83.66,18,2,4.24,Graduated
S100300,Student_300,Male,24,Engineering,500,3.74,56.64,14,7,17.08,Graduated
S100301,Student_301,Male,29,Medicine,300,2.47,99.39,8,4,5.0,Graduated
S100302,Student_302,Male,23,Business Admin,300,2.9,54.61,6,7,7.78,Graduated
S100303,Student_303,Female,27,Engineering,200,3.13,45.36,11,2,6.67,Graduated
S100304,Student_304,Female,30,Business Admin,300,3.34,98.64,7,2,13.17,Graduated
S100305,Student_305,Male,29,Business Admin,500,2.17,49.17,13,2,6.64,Graduated
S100306,Student_306,Female,20,Engineering,300,2.83,71.3,12,4,8.94,Dropped
S100307,Student_307,Female,24,Medicine,200,3.02,68.09,16,7,8.25,Graduated
S100308,Student_308,Female,21,Education,100,3.56,90.89,14,1,5.61,In Progress
S100309,Student_309,Female,26,Medicine,300,2.85,63.8,17,1,10.08,Graduated
S100310,Student_310,Female,25,Computer Science,500,2.93,70.13,11,5,11.32,In Progress
S100311,Student_311,Male,28,Engineering,500,3.1,42.62,12,5,13.52,Graduated
S100312,Student_312,Female,28,Law,200,3.73,52.47,5,1,13.05,Graduated
S100313,Student_313,Male,26,Engineering,200,1.56,89.98,14,0,13.59,In Progress
S100314,Student_314,Male,21,Computer Science,400,3.07,68.7,16,6,1.15,Graduated
S100315,Student_315,Female,17,Business Admin,400,3.82,53.86,10,1,9.89,Graduated
S100316,Student_316,Male,28,Law,400,2.42,62.13,11,1,5.53,Dropped
S100317,Student_317,Male,25,Law,100,2.47,57.11,11,1,10.05,Graduated
S100318,Student_318,Male,28,Medicine,500,3.86,73.37,17,3,10.7,In Progress
S100319,Student_319,Female,21,Education,400,2.76,43.09,18,2,11.04,Graduated
S100320,Student_320,Female,22,Medicine,500,2.78,53.5,13,5,1.98,Graduated
S100321,Student_321,Male,20,Law,200,3.19,61.3,11,4,21.97,In Progress
S100322,Student_322,Female,22,Law,100,0.91,95.69,16,6,21.51,Graduated
S100323,Student_323,Female,28,Education,200,1.73,77.4,11,6,6.89,Graduated
S100324,Student_324,Female,24,Engineering,500,3.41,70.26,17,6,4.43,Graduated
S100325,Student_325,Female,19,Education,400,2.83,51.45,10,3,24.21,Graduated
S100326,Student_326,Male,21,Business Admin,200,2.89,73.47,7,2,15.53,Graduated
S100327,Student_327,Male,18,Medicine,300,2.54,95.74,17,1,13.74,Graduated
S100328,Student_328,Female,30,Engineering,100,2.81,73.98,10,1,3.88,In Progress
S100329,Student_329,Female,18,Medicine,500,3.83,49.89,13,3,18.06,Graduated
S100330,Student_330,Male,29,Education,400,3.09,99.83,15,4,5.66,Dropped
S100331,Student_331,Male,23,Engineering,200,3.74,69.93,14,3,9.07,Graduated
S100332,Student_332,Female,26,Education,100,2.89,59.17,7,3,16.89,Graduated
